Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points
 0.350000  3.530968  0.000000  4.121330  9.480660  0.000000  0.000000  0.979953  2.399906  3.498712  4.192821  4.465532  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.537954  0.000000  4.121327  9.196606  0.000000  0.000000  0.950242  2.350485  3.804408  4.530143  4.771228  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.544433  0.000000  4.120745  8.947636  0.000000  0.000000  0.940000  2.310364  3.741378  4.488707  4.708198  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.550720  0.000000  4.121366  8.702732  0.000000  0.000000  0.910195  2.259805  3.499551  4.247270  4.466371  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.557717  0.000000  4.122735  8.428193  0.000000  0.000000  0.890181  2.220542  3.578520  4.357854  4.545340  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.560594  0.000000  4.122753  8.308193  0.000000  0.000000  0.880000  2.190542  3.543761  4.323677  4.510581  0.000000  0.000000  0.000000  0.000000  0.000000
 0.700000  3.568971  0.000000  4.125929  7.967041  0.000000  0.000000  0.850000  2.120888  3.418508  4.208535  4.374609  0.000000  0.000000  0.000000  0.000000  0.000000
 0.800000  3.577686  0.000000  4.126785  7.618344  0.000000  0.000000  0.820000  2.040552  3.283456  4.084017  4.228387  0.000000  0.000000  0.000000  0.000000  0.000000
 0.900000  3.586587  0.000000  4.131000  7.280000  0.000000  0.000000  0.790000  1.940000  3.140977  3.930371  4.063613  0.000000  0.000000  0.000000  0.000000  0.000000
 1.000000  3.599025  0.000000  4.128714  6.800571  0.000000  0.000000  0.780000  1.778286  2.663662  3.452099  3.585035  0.000000  0.000000  0.000000  0.000000  0.000000
