Z=0.018120 Y=0.266240 OS=0.20 l/Hp=1.743201 [Fe/H]=    0.000 [Alpha/Fe]= 0.00
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
 1.3531395  3.6889  0.1013  4.1753  4.789  0.765  0.978  0.503  0.931  1.651  2.157  2.243  2.322  2.775  3.3963E+02  7.4425E+01  2.2689E+01
 1.5021671  3.7124  0.2739  4.1421  4.273  0.507  0.855  0.455  0.858  1.472  1.933  2.011  2.078  2.501  2.7285E+02  4.6273E+01  1.1759E+01
 1.6259875  3.7349  0.4538  4.0865  3.764  0.301  0.747  0.416  0.796  1.321  1.732  1.801  1.857  2.247  2.2342E+02  3.1383E+01  6.9799E+00
 1.7255872  3.7556  0.6480  4.0011  3.227  0.154  0.656  0.372  0.720  1.181  1.536  1.596  1.644  1.996  1.7986E+02  2.1908E+01  4.4060E+00
 1.8058471  3.7756  0.8437  3.9051  2.693  0.068  0.577  0.327  0.639  1.050  1.356  1.409  1.449  1.767  1.4911E+02  1.6270E+01  3.0279E+00
 1.8746982  3.7958  1.0300  3.8159  2.186  0.030  0.506  0.286  0.560  0.918  1.178  1.227  1.259  1.546  1.0593E+02  1.0649E+01  1.8705E+00
 1.9117788  3.8210  1.1267  3.8286  1.912  0.049  0.428  0.236  0.470  0.748  0.954  0.998  1.017  1.253  7.3134E+01  6.9526E+00  1.1742E+00
 1.9478319  3.8458  1.2216  3.8410  1.642  0.067  0.351  0.187  0.383  0.579  0.734  0.772  0.778  0.964  7.0344E+01  6.4015E+00  1.0484E+00
 1.9821230  3.8704  1.3015  3.8673  1.427  0.077  0.275  0.141  0.300  0.427  0.535  0.569  0.564  0.704  6.5336E+01  5.7092E+00  9.0873E-01
 2.0131683  3.8960  1.3266  3.9513  1.405  0.071  0.200  0.105  0.231  0.318  0.399  0.428  0.416  0.524  5.9421E+01  5.0051E+00  7.7637E-01
 2.0415439  3.9215  1.3512  4.0345  1.379  0.069  0.124  0.068  0.161  0.206  0.259  0.283  0.265  0.340  9.1455E+01  7.3750E+00  1.1096E+00
 2.1046229  3.9428  1.3445  4.1395  1.425  0.068  0.062  0.037  0.103  0.112  0.142  0.163  0.139  0.186  1.7623E+02  1.3184E+01  1.8824E+00
 2.2177760  3.9609  1.3528  4.2266  1.465  0.035  0.037  0.021  0.071  0.068  0.090  0.105  0.080  0.112  1.6742E+02  1.1406E+01  1.5248E+00
 2.2720441  3.9827  1.4313  4.2456  1.345 -0.011  0.000  0.001  0.032  0.012  0.023  0.033  0.006  0.021  1.1682E+02  7.3842E+00  9.3645E-01
 2.3345919  4.0045  1.4970  4.2790  1.277 -0.075 -0.028 -0.011  0.001 -0.043 -0.042 -0.033 -0.062 -0.060  1.7545E+02  1.0299E+01  1.2402E+00
 2.4474990  4.0266  1.5659  4.3190  1.218 -0.155 -0.055 -0.023 -0.026 -0.097 -0.107 -0.103 -0.131 -0.148  2.7291E+02  1.4364E+01  1.6029E+00
 2.6075009  4.0458  1.6595  4.3297  1.088 -0.224 -0.076 -0.032 -0.047 -0.143 -0.163 -0.161 -0.191 -0.223  3.2782E+02  1.5015E+01  1.5200E+00
 2.7753180  4.0640  1.7606  4.3285  0.931 -0.281 -0.093 -0.041 -0.067 -0.182 -0.213 -0.210 -0.244 -0.288  3.3737E+02  1.3363E+01  1.2216E+00
 2.9448695  4.0816  1.8595  4.3258  0.782 -0.336 -0.109 -0.049 -0.085 -0.212 -0.245 -0.246 -0.283 -0.334  3.4843E+02  1.1987E+01  9.9251E-01
